ocel_id;ocel_time;ocel_changed_field;Amount of Handling Units;Status;Weight
cr8;2023-05-24 17:50:00;;1;empty
cr483;2023-08-21 11:03:47;Status;;full
cr450;2023-08-21 11:21:54;Status;;full
cr510;2023-08-21 11:25:46;;6;empty
cr480;2023-08-21 11:37:48;Status;;full
cr458;2023-08-21 11:44:07;;6;empty
cr483;2023-08-21 14:08:35;Weight;;;1190.0
cr450;2023-08-21 14:13:30;Weight;;;1140.0
cr529;2023-08-21 14:32:29;Status;;full
cr490;2023-08-21 14:45:40;Status;;full
cr493;2023-08-21 14:55:06;;3;empty
cr420;2023-08-21 14:56:51;;6;empty
cr529;2023-08-21 15:56:58;Weight;;;1230.0
cr480;2023-08-21 15:59:15;Weight;;;380.0
cr458;2023-08-21 16:03:26;Status;;full
cr500;2023-08-21 16:32:23;;6;empty
cr510;2023-08-21 16:44:38;Status;;full
cr458;2023-08-21 16:58:41;Weight;;;1140.0
cr548;2023-08-21 17:04:14;;2;empty
cr490;2023-08-21 17:20:21;Weight;;;1160.0
cr531;2023-08-21 17:56:52;Status;;full
cr482;2023-08-21 18:15:57;;6;empty
cr510;2023-08-21 18:30:14;Weight;;;1140.0
cr516;2023-08-22 10:10:19;;6;empty
cr531;2023-08-22 10:15:07;Weight;;;1170.0
cr548;2023-08-22 13:33:45;Status;;full
cr534;2023-08-22 13:58:28;;6;empty
cr548;2023-08-22 15:04:30;Weight;;;380.0
cr493;2023-08-22 15:59:14;Status;;full
cr500;2023-08-22 15:59:23;Status;;full
cr482;2023-08-22 16:29:58;Status;;full
cr516;2023-08-22 16:35:10;Status;;full
cr523;2023-08-22 16:59:36;;4;empty
cr486;2023-08-22 17:23:10;;6;empty
cr566;2023-08-22 17:23:31;;5;empty
cr493;2023-08-22 17:43:26;Weight;;;580.0
cr500;2023-08-22 17:55:41;Weight;;;1120.0
cr516;2023-08-22 18:12:07;Weight;;;1230.0
cr479;2023-08-23 08:35:16;;6;empty
cr482;2023-08-23 08:46:41;Weight;;;1160.0
cr420;2023-08-23 09:55:55;Status;;full
cr525;2023-08-23 12:11:27;;1;empty
cr420;2023-08-23 13:14:29;Weight;;;1160.0
cr534;2023-08-23 13:23:21;Status;;full
cr527;2023-08-23 15:13:18;;6;empty
cr534;2023-08-23 15:19:08;Weight;;;1100.0
cr523;2023-08-23 16:40:30;Status;;full
cr512;2023-08-23 17:56:07;;6;empty
cr523;2023-08-23 19:24:05;Weight;;;740.0
cr525;2023-08-24 07:11:28;Status;;full
cr486;2023-08-24 07:28:34;Status;;full
cr546;2023-08-24 08:37:18;;6;empty
cr543;2023-08-24 09:36:57;;6;empty
cr486;2023-08-24 10:50:52;Weight;;;1230.0
cr525;2023-08-24 11:51:54;Weight;;;200.0
cr527;2023-08-24 13:14:04;Status;;full
cr479;2023-08-24 13:30:08;Status;;full
cr535;2023-08-24 14:57:00;;3;empty
cr521;2023-08-24 15:26:28;;6;empty
cr479;2023-08-24 15:37:03;Weight;;;1280.0
cr527;2023-08-24 16:01:07;Weight;;;1240.0
cr512;2023-08-24 16:58:33;Status;;full
cr553;2023-08-24 19:09:43;;6;empty
cr566;2023-08-24 19:14:33;Status;;full
cr512;2023-08-25 07:12:49;Weight;;;1190.0
cr555;2023-08-25 08:03:53;;6;empty
cr566;2023-08-25 08:06:41;Weight;;;980.0
cr543;2023-08-25 09:38:34;Status;;full
cr504;2023-08-25 11:58:04;;6;empty
cr543;2023-08-25 14:05:38;Weight;;;1210.0
cr553;2023-08-25 15:09:54;Status;;full
cr535;2023-08-25 15:11:18;Status;;full
cr546;2023-08-25 15:33:12;Status;;full
cr593;2023-08-25 15:36:20;;6;empty
cr555;2023-08-25 15:44:57;Status;;full
cr535;2023-08-25 15:45:36;Weight;;;600.0
cr597;2023-08-25 15:58:10;;6;empty
cr540;2023-08-25 16:58:03;;6;empty
cr521;2023-08-25 16:58:25;Status;;full
cr546;2023-08-25 17:06:16;Weight;;;1140.0
cr554;2023-08-25 17:19:35;;5;empty
cr553;2023-08-25 17:38:47;Weight;;;1230.0
cr555;2023-08-25 18:00:50;Weight;;;1260.0
cr520;2023-08-25 19:48:33;;4;empty
cr521;2023-08-28 08:27:42;Weight;;;1120.0
cr593;2023-08-28 13:11:15;Status;;full
cr520;2023-08-28 13:12:13;Status;;full
cr563;2023-08-28 13:39:45;;6;empty
cr520;2023-08-28 13:45:13;Weight;;;780.0
cr504;2023-08-28 14:55:16;Status;;full
cr471;2023-08-28 15:01:36;;6;empty
cr593;2023-08-28 15:03:20;Weight;;;1120.0
cr554;2023-08-28 15:10:29;Status;;full
cr597;2023-08-28 15:35:22;Status;;full
cr540;2023-08-28 15:56:34;Status;;full
cr556;2023-08-28 15:58:11;;6;empty
cr591;2023-08-28 16:13:12;;6;empty
cr504;2023-08-28 16:15:08;Weight;;;1260.0
cr519;2023-08-28 16:59:25;;6;empty
cr597;2023-08-28 17:00:54;Weight;;;1140.0
cr583;2023-08-28 17:20:53;;1;empty
cr540;2023-08-28 17:53:43;Weight;;;1120.0
cr554;2023-08-28 18:27:19;Weight;;;1000.0
cr563;2023-08-29 07:38:28;Status;;full
cr583;2023-08-29 09:53:41;Status;;full
cr544;2023-08-29 10:17:51;;6;empty
cr563;2023-08-29 10:25:41;Weight;;;1100.0
cr519;2023-08-29 11:12:54;Status;;full
cr591;2023-08-29 11:59:18;Status;;full
cr601;2023-08-29 12:07:39;;1;empty
cr583;2023-08-29 13:09:36;Weight;;;200.0
cr471;2023-08-29 13:44:09;Status;;full
cr582;2023-08-29 13:54:02;;6;empty
cr519;2023-08-29 13:59:33;Weight;;;1120.0
cr549;2023-08-29 14:23:51;;6;empty
cr591;2023-08-29 14:25:04;Weight;;;1100.0
cr562;2023-08-29 14:51:26;;6;empty
cr471;2023-08-29 14:52:50;Weight;;;1200.0
cr556;2023-08-29 15:08:11;Status;;full
cr544;2023-08-29 15:19:16;Status;;full
cr517;2023-08-29 15:28:34;;2;empty
cr556;2023-08-29 15:33:45;Weight;;;1160.0
cr468;2023-08-29 17:08:26;;6;empty
cr544;2023-08-29 17:20:28;Weight;;;1280.0
cr601;2023-08-30 10:00:43;Status;;full
cr494;2023-08-30 10:20:31;;6;empty
cr601;2023-08-30 10:31:00;Weight;;;250.0
cr562;2023-08-30 13:44:04;Status;;full
cr582;2023-08-30 14:57:00;Status;;full
cr549;2023-08-30 14:58:02;Status;;full
cr514;2023-08-30 15:51:49;;6;empty
cr562;2023-08-30 15:57:48;Weight;;;1160.0
cr558;2023-08-30 16:13:49;;6;empty
cr582;2023-08-30 16:17:29;Weight;;;1160.0
cr606;2023-08-30 17:20:17;;5;empty
cr549;2023-08-30 17:58:46;Weight;;;1230.0
cr468;2023-08-30 18:15:21;Status;;full
cr579;2023-08-31 09:29:55;;6;empty
cr517;2023-08-31 09:56:43;Status;;full
cr468;2023-08-31 11:05:16;Weight;;;1280.0
cr499;2023-08-31 11:13:20;;6;empty
cr517;2023-08-31 11:27:22;Weight;;;400.0
cr606;2023-08-31 11:33:37;Status;;full
cr514;2023-08-31 11:38:59;Status;;full
cr494;2023-08-31 11:41:25;Status;;full
cr550;2023-08-31 11:54:02;;6;empty
cr579;2023-08-31 11:54:21;Status;;full
cr606;2023-08-31 11:56:04;Weight;;;960.0
cr518;2023-08-31 11:59:14;;6;empty
cr515;2023-08-31 13:43:05;;6;empty
cr494;2023-08-31 13:50:01;Weight;;;1120.0
cr514;2023-08-31 14:04:23;Weight;;;1190.0
cr499;2023-08-31 14:18:46;Status;;full
cr505;2023-08-31 14:38:36;;6;empty
cr499;2023-08-31 14:42:48;Weight;;;1170.0
cr585;2023-08-31 15:21:30;;6;empty
cr579;2023-08-31 15:23:09;Weight;;;1230.0
cr558;2023-08-31 16:18:55;Status;;full
cr608;2023-08-31 16:43:31;;6;empty
cr558;2023-08-31 16:48:27;Weight;;;1190.0
cr515;2023-09-01 08:45:57;Status;;full
cr475;2023-09-01 09:51:27;;4;empty
cr515;2023-09-01 09:54:42;Weight;;;1190.0
cr550;2023-09-01 11:07:05;Status;;full
cr506;2023-09-01 11:19:37;;6;empty
cr550;2023-09-01 11:21:25;Weight;;;1170.0
cr518;2023-09-01 11:23:04;Status;;full
cr573;2023-09-01 11:35:23;;6;empty
cr518;2023-09-01 11:39:33;Weight;;;1140.0
cr505;2023-09-01 11:41:23;Status;;full
cr511;2023-09-01 11:53:31;;6;empty
cr505;2023-09-01 11:54:18;Weight;;;1260.0
cr475;2023-09-01 14:23:28;Status;;full
cr608;2023-09-01 14:25:39;Status;;full
cr585;2023-09-01 14:32:39;Status;;full
cr545;2023-09-01 14:36:13;;1;empty
cr475;2023-09-01 14:37:40;Weight;;;760.0
cr545;2023-09-01 15:38:24;Status;;full
cr567;2023-09-01 15:41:40;;6;empty
cr608;2023-09-01 15:44:41;Weight;;;1100.0
cr511;2023-09-01 15:46:03;Status;;full
cr623;2023-09-01 15:50:48;;6;empty
cr545;2023-09-01 15:53:10;Weight;;;180.0
cr602;2023-09-01 15:55:20;;6;empty
cr585;2023-09-01 15:56:07;Weight;;;1160.0
cr506;2023-09-01 16:01:47;Status;;full
cr614;2023-09-01 16:17:51;;1;empty
cr506;2023-09-01 16:22:10;Weight;;;1160.0
cr573;2023-09-01 17:21:55;Status;;full
cr488;2023-09-01 17:30:41;;6;empty
cr511;2023-09-01 17:46:50;Weight;;;1140.0
cr567;2023-09-04 07:18:55;Status;;full
cr626;2023-09-04 07:41:20;;6;empty
cr567;2023-09-04 07:52:23;Weight;;;1140.0
cr564;2023-09-04 08:19:38;;1;empty
cr573;2023-09-04 08:57:04;Weight;;;1210.0
cr602;2023-09-04 10:16:47;Status;;full
cr564;2023-09-04 10:29:48;Status;;full
cr604;2023-09-04 10:40:48;;6;empty
cr564;2023-09-04 10:46:46;Weight;;;180.0
cr626;2023-09-04 10:46:58;Status;;full
cr488;2023-09-04 10:52:22;Status;;full
cr623;2023-09-04 10:57:29;Status;;full
cr594;2023-09-04 11:18:10;;6;empty
cr602;2023-09-04 12:01:46;Weight;;;1280.0
cr638;2023-09-04 12:06:01;;6;empty
cr530;2023-09-04 12:18:37;;2;empty
cr536;2023-09-04 12:29:04;;6;empty
cr623;2023-09-04 13:10:34;Weight;;;1180.0
cr626;2023-09-04 13:21:23;Weight;;;1210.0
cr488;2023-09-04 13:32:14;Weight;;;1160.0
cr614;2023-09-04 14:59:10;Status;;full
cr604;2023-09-04 15:39:08;Status;;full
cr594;2023-09-04 15:41:41;Status;;full
cr530;2023-09-04 15:47:12;Status;;full
cr536;2023-09-04 15:55:52;Status;;full
cr638;2023-09-04 15:57:02;Status;;full
cr628;2023-09-04 15:58:24;;6;empty
cr530;2023-09-04 15:59:17;Weight;;;360.0
cr587;2023-09-04 16:09:42;;6;empty
cr614;2023-09-04 16:14:40;Weight;;;200.0
cr427;2023-09-04 17:04:10;;6;empty
cr542;2023-09-04 17:09:14;;6;empty
cr586;2023-09-04 17:14:14;;6;empty
cr604;2023-09-04 17:14:39;Weight;;;1160.0
cr536;2023-09-04 17:16:44;Weight;;;1260.0
cr594;2023-09-04 17:17:37;Weight;;;1140.0
cr469;2023-09-04 17:48:45;;6;empty
cr638;2023-09-04 17:53:16;Weight;;;1210.0
cr469;2023-09-05 13:34:27;Status;;full
cr427;2023-09-05 13:43:03;Status;;full
cr616;2023-09-05 13:46:44;;6;empty
cr628;2023-09-05 13:47:15;Status;;full
cr586;2023-09-05 13:48:06;Status;;full
cr469;2023-09-05 13:48:19;Weight;;;1260.0
cr542;2023-09-05 13:58:36;Status;;full
cr621;2023-09-05 13:59:29;;1;empty
cr528;2023-09-05 14:48:36;;6;empty
cr586;2023-09-05 14:49:44;Weight;;;1160.0
cr628;2023-09-05 15:00:00;Weight;;;1240.0
cr467;2023-09-05 15:09:06;;6;empty
cr427;2023-09-05 15:10:27;Weight;;;1140.0
cr587;2023-09-05 15:32:02;Status;;full
cr610;2023-09-05 15:37:55;;6;empty
cr542;2023-09-05 15:40:07;Weight;;;1120.0
cr616;2023-09-05 15:55:54;Status;;full
cr621;2023-09-05 16:16:18;Status;;full
cr630;2023-09-05 16:29:00;;6;empty
cr621;2023-09-05 16:32:39;Weight;;;200.0
cr654;2023-09-05 16:46:41;;6;empty
cr587;2023-09-05 16:49:14;Weight;;;1160.0
cr467;2023-09-05 16:53:54;Status;;full
cr557;2023-09-05 17:40:30;;6;empty
cr616;2023-09-05 17:44:32;Weight;;;1140.0
cr568;2023-09-05 18:11:50;;6;empty
cr467;2023-09-05 18:17:19;Weight;;;1280.0
cr630;2023-09-06 10:24:38;Status;;full
cr610;2023-09-06 10:25:55;Status;;full
cr557;2023-09-06 10:32:25;Status;;full
cr568;2023-09-06 10:33:03;Status;;full
cr654;2023-09-06 10:33:58;Status;;full
cr528;2023-09-06 10:34:12;Status;;full
cr692;2023-09-06 10:42:17;;5;empty
cr676;2023-09-06 10:43:38;;6;empty
cr557;2023-09-06 10:44:15;Weight;;;1100.0
cr654;2023-09-06 10:46:01;Weight;;;1190.0
cr588;2023-09-06 11:29:12;;1;empty
cr630;2023-09-06 11:30:10;Weight;;;1170.0
cr655;2023-09-06 11:32:06;;2;empty
cr610;2023-09-06 11:34:17;Weight;;;1180.0
cr625;2023-09-06 11:46:13;;6;empty
cr532;2023-09-06 11:48:21;;6;empty
cr568;2023-09-06 11:50:03;Weight;;;1160.0
cr528;2023-09-06 11:50:53;Weight;;;1190.0
cr588;2023-09-06 13:28:11;Status;;full
cr609;2023-09-06 13:40:39;;6;empty
cr588;2023-09-06 13:46:23;Weight;;;200.0
cr692;2023-09-06 13:50:36;Status;;full
cr655;2023-09-06 13:53:04;Status;;full
cr658;2023-09-06 14:57:20;;6;empty
cr655;2023-09-06 14:58:28;Weight;;;380.0
cr592;2023-09-06 15:23:00;;6;empty
cr692;2023-09-06 15:26:37;Weight;;;1060.0
cr532;2023-09-06 16:02:54;Status;;full
cr672;2023-09-06 16:15:38;;1;empty
cr532;2023-09-06 16:19:56;Weight;;;1280.0
cr672;2023-09-06 16:47:39;Status;;full
cr676;2023-09-06 16:54:10;Status;;full
cr609;2023-09-06 18:01:25;Status;;full
cr625;2023-09-06 18:07:31;Status;;full
cr617;2023-09-06 18:11:35;;6;empty
cr572;2023-09-07 07:17:20;;6;empty
cr676;2023-09-07 07:17:27;Weight;;;1280.0
cr508;2023-09-07 07:59:14;;2;empty
cr615;2023-09-07 08:09:23;;6;empty
cr658;2023-09-07 09:56:22;Status;;full
cr625;2023-09-07 10:04:15;Weight;;;1170.0
cr592;2023-09-07 10:05:38;Status;;full
cr609;2023-09-07 10:07:49;Weight;;;1140.0
cr672;2023-09-07 10:14:58;Weight;;;180.0
cr560;2023-09-07 10:15:46;;6;empty
cr592;2023-09-07 10:22:15;Weight;;;1190.0
cr508;2023-09-07 10:34:07;Status;;full
cr617;2023-09-07 10:35:32;Status;;full
cr572;2023-09-07 10:41:30;Status;;full
cr615;2023-09-07 10:44:03;Status;;full
cr552;2023-09-07 10:44:15;;6;empty
cr673;2023-09-07 10:51:21;;6;empty
cr560;2023-09-07 10:52:45;Status;;full
cr572;2023-09-07 10:58:48;Weight;;;1190.0
cr508;2023-09-07 10:59:41;Weight;;;360.0
cr644;2023-09-07 11:02:52;;6;empty
cr590;2023-09-07 11:51:31;;6;empty
cr617;2023-09-07 12:00:11;Weight;;;1170.0
cr682;2023-09-07 12:07:58;;6;empty
cr538;2023-09-07 12:25:41;;6;empty
cr658;2023-09-07 13:04:03;Weight;;;1140.0
cr615;2023-09-07 13:12:17;Weight;;;1120.0
cr560;2023-09-07 13:32:30;Weight;;;1160.0
cr590;2023-09-07 17:16:59;Status;;full
cr633;2023-09-07 17:50:47;;3;empty
cr682;2023-09-07 17:57:03;Status;;full
cr590;2023-09-07 19:03:59;Weight;;;1160.0
cr673;2023-09-08 07:20:10;Status;;full
cr644;2023-09-08 07:39:20;Status;;full
cr538;2023-09-08 07:41:35;Status;;full
cr622;2023-09-08 07:45:23;;6;empty
cr673;2023-09-08 07:50:05;Weight;;;1230.0
cr611;2023-09-08 08:04:48;;3;empty
cr682;2023-09-08 08:11:02;Weight;;;1160.0
cr633;2023-09-08 08:42:51;Status;;full
cr598;2023-09-08 08:47:54;;6;empty
cr538;2023-09-08 08:51:15;Weight;;;1160.0
cr552;2023-09-08 08:55:36;Status;;full
cr622;2023-09-08 09:45:47;Status;;full
cr607;2023-09-08 09:46:58;;6;empty
cr611;2023-09-08 09:48:36;Status;;full
cr633;2023-09-08 09:49:06;Weight;;;680.0
cr639;2023-09-08 09:49:14;;6;empty
cr644;2023-09-08 09:51:22;Weight;;;1260.0
cr659;2023-09-08 09:58:30;;1;empty
cr645;2023-09-08 10:06:02;;6;empty
cr552;2023-09-08 10:08:58;Weight;;;1140.0
cr598;2023-09-08 10:26:00;Status;;full
cr495;2023-09-08 10:50:06;;6;empty
cr611;2023-09-08 10:53:28;Weight;;;630.0
cr622;2023-09-08 10:59:04;Weight;;;1140.0
cr659;2023-09-08 11:30:45;Status;;full
cr412;2023-09-08 11:42:02;;6;empty
cr646;2023-09-08 11:43:34;;6;empty
cr659;2023-09-08 11:45:08;Weight;;;180.0
cr598;2023-09-08 11:46:07;Weight;;;1140.0
cr607;2023-09-08 14:18:58;Status;;full
cr639;2023-09-08 14:24:28;Status;;full
cr681;2023-09-08 14:31:19;;3;empty
cr607;2023-09-08 14:32:25;Weight;;;1160.0
cr578;2023-09-08 14:37:06;;3;empty
cr639;2023-09-08 14:38:09;Weight;;;1230.0
cr645;2023-09-08 14:50:33;Status;;full
cr412;2023-09-08 15:24:32;Status;;full
cr524;2023-09-08 15:53:50;;6;empty
cr645;2023-09-08 15:55:16;Weight;;;1160.0
cr646;2023-09-08 16:15:47;Status;;full
cr495;2023-09-08 16:22:07;Status;;full
cr620;2023-09-08 16:37:09;;6;empty
cr495;2023-09-08 16:38:08;Weight;;;1250.0
cr578;2023-09-08 16:39:14;Status;;full
cr513;2023-09-08 16:43:05;;6;empty
cr412;2023-09-08 16:47:39;Weight;;;1140.0
cr681;2023-09-08 16:49:12;Status;;full
cr612;2023-09-08 16:55:15;;6;empty
cr578;2023-09-08 16:58:12;Weight;;;580.0
cr632;2023-09-08 18:04:38;;6;empty
cr646;2023-09-08 18:13:11;Weight;;;1210.0
cr577;2023-09-11 08:19:47;;6;empty
cr681;2023-09-11 08:27:21;Weight;;;630.0
cr524;2023-09-11 08:53:59;Status;;full
cr620;2023-09-11 09:44:32;Status;;full
cr697;2023-09-11 09:55:10;;6;empty
cr620;2023-09-11 09:57:03;Weight;;;1120.0
cr577;2023-09-11 09:59:20;Status;;full
cr575;2023-09-11 10:35:30;;6;empty
cr524;2023-09-11 10:57:20;Weight;;;1140.0
cr632;2023-09-11 11:02:14;Status;;full
cr605;2023-09-11 11:09:47;;6;empty
cr513;2023-09-11 11:27:44;Status;;full
cr641;2023-09-11 11:46:10;;6;empty
cr632;2023-09-11 12:00:11;Weight;;;1160.0
cr577;2023-09-11 13:11:28;Weight;;;1190.0
cr533;2023-09-11 13:42:53;;6;empty
cr513;2023-09-11 13:53:42;Weight;;;1180.0
cr697;2023-09-11 15:15:14;Status;;full
cr575;2023-09-11 15:22:37;Status;;full
cr624;2023-09-11 15:33:28;;6;empty
cr575;2023-09-11 15:51:55;Weight;;;1180.0
cr641;2023-09-11 15:57:24;Status;;full
cr570;2023-09-11 15:59:38;;6;empty
cr697;2023-09-11 17:04:29;Weight;;;1160.0
cr635;2023-09-11 17:08:17;;6;empty
cr641;2023-09-11 17:10:18;Weight;;;1210.0
cr612;2023-09-11 17:13:52;Status;;full
cr502;2023-09-11 17:52:46;;6;empty
cr612;2023-09-11 17:56:44;Weight;;;1230.0
cr533;2023-09-12 09:06:43;Status;;full
cr502;2023-09-12 09:07:32;Status;;full
cr570;2023-09-12 09:12:12;Status;;full
cr624;2023-09-12 09:13:06;Status;;full
cr605;2023-09-12 09:14:51;Status;;full
cr635;2023-09-12 09:16:14;Status;;full
cr636;2023-09-12 09:16:49;;6;empty
cr637;2023-09-12 09:17:24;;4;empty
cr502;2023-09-12 09:18:27;Weight;;;1260.0
cr533;2023-09-12 09:20:42;Weight;;;1230.0
cr708;2023-09-12 09:22:21;;6;empty
cr703;2023-09-12 09:23:32;;6;empty
cr595;2023-09-12 09:24:39;;6;empty
cr570;2023-09-12 09:25:32;Weight;;;1210.0
cr624;2023-09-12 09:27:04;Weight;;;1230.0
cr605;2023-09-12 09:29:41;Weight;;;1140.0
cr526;2023-09-12 09:56:08;;6;empty
cr635;2023-09-12 09:57:09;Weight;;;1180.0
cr637;2023-09-12 14:14:57;Status;;full
cr636;2023-09-12 14:22:12;Status;;full
cr595;2023-09-12 14:31:02;Status;;full
cr650;2023-09-12 14:32:21;;1;empty
cr636;2023-09-12 14:32:54;Weight;;;1160.0
cr526;2023-09-12 14:34:14;Status;;full
cr708;2023-09-12 14:37:41;Status;;full
cr702;2023-09-12 14:41:09;;6;empty
cr595;2023-09-12 14:44:24;Weight;;;1140.0
cr576;2023-09-12 14:48:00;;6;empty
cr708;2023-09-12 14:50:20;Weight;;;1170.0
cr489;2023-09-12 14:54:28;;5;empty
cr650;2023-09-12 14:55:02;Status;;full
cr637;2023-09-12 14:55:17;Weight;;;880.0
cr699;2023-09-12 15:48:29;;6;empty
cr526;2023-09-12 15:49:36;Weight;;;1160.0
cr694;2023-09-12 16:30:05;;6;empty
cr650;2023-09-12 16:33:38;Weight;;;200.0
cr703;2023-09-12 16:39:38;Status;;full
cr569;2023-09-12 16:52:17;;6;empty
cr703;2023-09-12 16:53:20;Weight;;;1120.0
cr576;2023-09-13 08:12:56;Status;;full
cr702;2023-09-13 08:57:16;Status;;full
cr539;2023-09-13 09:28:42;;1;empty
cr576;2023-09-13 09:31:33;Weight;;;1190.0
cr664;2023-09-13 10:05:53;;6;empty
cr702;2023-09-13 10:06:58;Weight;;;1160.0
cr489;2023-09-13 11:00:49;Status;;full
cr685;2023-09-13 11:10:52;;6;empty
cr489;2023-09-13 11:11:36;Weight;;;980.0
cr699;2023-09-13 11:11:41;Status;;full
cr694;2023-09-13 11:15:15;Status;;full
cr569;2023-09-13 11:25:04;Status;;full
cr559;2023-09-13 11:25:07;;4;empty
cr694;2023-09-13 11:27:50;Weight;;;1140.0
cr685;2023-09-13 11:42:21;Status;;full
cr693;2023-09-13 11:52:08;;6;empty
cr581;2023-09-13 11:52:21;;6;empty
cr699;2023-09-13 11:53:29;Weight;;;1140.0
cr685;2023-09-13 11:53:54;Weight;;;1280.0
cr539;2023-09-13 11:58:50;Status;;full
cr713;2023-09-13 13:31:34;;3;empty
cr569;2023-09-13 13:34:37;Weight;;;1160.0
cr678;2023-09-13 14:47:46;;6;empty
cr539;2023-09-13 14:50:53;Weight;;;200.0
cr559;2023-09-13 15:12:45;Status;;full
cr713;2023-09-13 15:30:30;Status;;full
cr664;2023-09-13 15:33:02;Status;;full
cr581;2023-09-13 15:43:10;Status;;full
cr547;2023-09-13 15:43:25;;6;empty
cr664;2023-09-13 15:47:24;Weight;;;1280.0
cr675;2023-09-13 15:52:49;;6;empty
cr683;2023-09-13 15:52:55;;6;empty
cr559;2023-09-13 15:54:27;Weight;;;780.0
cr581;2023-09-13 15:57:02;Weight;;;1140.0
cr693;2023-09-13 16:07:02;Status;;full
cr707;2023-09-13 16:19:19;;5;empty
cr693;2023-09-13 16:20:23;Weight;;;1190.0
cr642;2023-09-13 16:43:44;;6;empty
cr713;2023-09-13 16:45:53;Weight;;;560.0
cr547;2023-09-13 16:59:26;Status;;full
cr678;2023-09-13 17:35:39;Status;;full
cr671;2023-09-14 08:29:55;;6;empty
cr715;2023-09-14 08:31:32;;6;empty
cr678;2023-09-14 08:32:00;Weight;;;1240.0
cr547;2023-09-14 08:32:41;Weight;;;1180.0
cr683;2023-09-14 09:45:23;Status;;full
cr677;2023-09-14 09:55:33;;6;empty
cr671;2023-09-14 09:56:16;Status;;full
cr683;2023-09-14 09:57:01;Weight;;;1160.0
cr675;2023-09-14 10:58:12;Status;;full
cr707;2023-09-14 10:58:37;Status;;full
cr642;2023-09-14 11:01:25;Status;;full
cr691;2023-09-14 11:02:46;;6;empty
cr671;2023-09-14 11:06:01;Weight;;;1190.0
cr665;2023-09-14 11:11:40;;6;empty
cr642;2023-09-14 11:14:38;Weight;;;1120.0
cr715;2023-09-14 11:45:17;Status;;full
cr677;2023-09-14 11:50:20;Status;;full
cr663;2023-09-14 12:06:56;;4;empty
cr684;2023-09-14 12:36:42;;6;empty
cr707;2023-09-14 13:11:49;Weight;;;960.0
cr675;2023-09-14 13:37:40;Weight;;;1170.0
cr691;2023-09-14 13:42:24;Status;;full
cr663;2023-09-14 13:44:12;Status;;full
cr561;2023-09-14 13:50:45;;6;empty
cr677;2023-09-14 13:52:29;Weight;;;1160.0
cr684;2023-09-14 14:13:02;Status;;full
cr497;2023-09-14 14:16:37;;6;empty
cr715;2023-09-14 14:18:32;Weight;;;1190.0
cr627;2023-09-14 14:52:33;;6;empty
cr665;2023-09-14 14:57:19;Status;;full
cr684;2023-09-14 14:57:44;Weight;;;1150.0
cr710;2023-09-14 15:08:22;;6;empty
cr691;2023-09-14 15:09:24;Weight;;;1210.0
cr651;2023-09-14 15:11:51;;6;empty
cr663;2023-09-14 15:13:12;Weight;;;760.0
cr561;2023-09-14 15:28:04;Status;;full
cr710;2023-09-14 15:46:30;Status;;full
cr698;2023-09-14 16:34:50;;6;empty
cr665;2023-09-14 16:37:11;Weight;;;1140.0
cr649;2023-09-14 16:38:23;;6;empty
cr561;2023-09-14 16:39:19;Weight;;;1180.0
cr631;2023-09-14 17:19:54;;6;empty
cr710;2023-09-14 17:21:40;Weight;;;1140.0
cr649;2023-09-15 11:09:13;Status;;full
cr627;2023-09-15 11:16:51;Status;;full
cr497;2023-09-15 11:22:09;Status;;full
cr698;2023-09-15 11:23:04;Status;;full
cr631;2023-09-15 11:25:56;Status;;full
cr725;2023-09-15 11:29:21;;5;empty
cr627;2023-09-15 11:30:37;Weight;;;1140.0
cr651;2023-09-15 11:32:19;Status;;full
cr634;2023-09-15 11:34:38;;6;empty
cr497;2023-09-15 11:36:47;Weight;;;1100.0
cr643;2023-09-15 11:38:43;;6;empty
cr631;2023-09-15 11:40:05;Weight;;;1080.0
cr695;2023-09-15 11:58:35;;6;empty
cr649;2023-09-15 11:59:39;Weight;;;1140.0
cr666;2023-09-15 13:39:53;;3;empty
cr698;2023-09-15 13:41:40;Weight;;;1140.0
cr661;2023-09-15 13:59:47;;6;empty
cr651;2023-09-15 15:02:17;Weight;;;1120.0
cr643;2023-09-15 15:51:28;Status;;full
cr695;2023-09-15 17:03:02;Status;;full
cr565;2023-09-15 17:43:40;;6;empty
cr653;2023-09-15 17:45:13;;6;empty
cr695;2023-09-15 17:47:19;Weight;;;1190.0
cr634;2023-09-15 17:49:01;Status;;full
cr661;2023-09-15 17:51:09;Status;;full
cr643;2023-09-15 17:58:23;Weight;;;1160.0
cr666;2023-09-15 18:40:15;Status;;full
cr725;2023-09-18 07:59:32;Status;;full
cr730;2023-09-18 09:01:05;;6;empty
cr657;2023-09-18 09:04:01;;6;empty
cr613;2023-09-18 09:04:39;;6;empty
cr709;2023-09-18 09:21:29;;6;empty
cr666;2023-09-18 10:24:26;Weight;;;560.0
cr661;2023-09-18 10:29:57;Weight;;;1100.0
cr725;2023-09-18 10:35:06;Weight;;;980.0
cr634;2023-09-18 10:46:19;Weight;;;1160.0
cr730;2023-09-18 11:04:19;Status;;full
cr740;2023-09-18 11:15:21;;4;empty
cr657;2023-09-18 11:18:19;Status;;full
cr709;2023-09-18 11:18:22;Status;;full
cr653;2023-09-18 11:25:55;Status;;full
cr484;2023-09-18 11:29:16;;5;empty
